filename;category;target;fold;aug
1-100032-A-0_original.png;dog;0;1;original
1-100032-A-0_noise.png;dog;0;1;noise
1-100032-A-0_shift_fwd.png;dog;0;1;shift_fwd
1-100032-A-0_shift_bwd.png;dog;0;1;shift_bwd
1-100032-A-0_pitch_up.png;dog;0;1;pitch_up
1-100032-A-0_pitch_down.png;dog;0;1;pitch_down
1-100032-A-0_speed_up.png;dog;0;1;speed_up
1-100032-A-0_speed_down.png;dog;0;1;speed_down
1-100032-A-0_pitch_up2.png;dog;0;1;pitch_up2
1-100032-A-0_noise_heavy.png;dog;0;1;noise_heavy
1-110389-A-0_original.png;dog;0;1;original
1-110389-A-0_noise.png;dog;0;1;noise
1-110389-A-0_shift_fwd.png;dog;0;1;shift_fwd
1-110389-A-0_shift_bwd.png;dog;0;1;shift_bwd
1-110389-A-0_pitch_up.png;dog;0;1;pitch_up
1-110389-A-0_pitch_down.png;dog;0;1;pitch_down
1-110389-A-0_speed_up.png;dog;0;1;speed_up
1-110389-A-0_speed_down.png;dog;0;1;speed_down
1-110389-A-0_pitch_up2.png;dog;0;1;pitch_up2
1-110389-A-0_noise_heavy.png;dog;0;1;noise_heavy
1-30226-A-0_original.png;dog;0;1;original
1-30226-A-0_noise.png;dog;0;1;noise
1-30226-A-0_shift_fwd.png;dog;0;1;shift_fwd
1-30226-A-0_shift_bwd.png;dog;0;1;shift_bwd
1-30226-A-0_pitch_up.png;dog;0;1;pitch_up
1-30226-A-0_pitch_down.png;dog;0;1;pitch_down
1-30226-A-0_speed_up.png;dog;0;1;speed_up
1-30226-A-0_speed_down.png;dog;0;1;speed_down
1-30226-A-0_pitch_up2.png;dog;0;1;pitch_up2
1-30226-A-0_noise_heavy.png;dog;0;1;noise_heavy
1-30344-A-0_original.png;dog;0;1;original
1-30344-A-0_noise.png;dog;0;1;noise
1-30344-A-0_shift_fwd.png;dog;0;1;shift_fwd
1-30344-A-0_shift_bwd.png;dog;0;1;shift_bwd
1-30344-A-0_pitch_up.png;dog;0;1;pitch_up
1-30344-A-0_pitch_down.png;dog;0;1;pitch_down
1-30344-A-0_speed_up.png;dog;0;1;speed_up
1-30344-A-0_speed_down.png;dog;0;1;speed_down
1-30344-A-0_pitch_up2.png;dog;0;1;pitch_up2
1-30344-A-0_noise_heavy.png;dog;0;1;noise_heavy
1-32318-A-0_original.png;dog;0;1;original
1-32318-A-0_noise.png;dog;0;1;noise
1-32318-A-0_shift_fwd.png;dog;0;1;shift_fwd
